Name,Ticker,TSLA,AAPL,MSFT,GOOG,AMZN,FB,BRK.A,JPM,V,JNJ,WMT,MA,DIS,UNH,BAC,NVDA,PG,HD,PYPL,INTC,CMCSA,XOM,VZ,NFLX,KO,NKE,ABT,T,ADBE,CSCO,CVX,PFE,MRK,CRM,AVGO,ORCL,PEP,ABBV,LLY,ACN,TMO,MCD,WFC,TXN,DHR,MDT,MS,C,BA,QCOM,Annualized Return,Daily Standard Deviation,Monthly Standard Deviation,Annualized Standard Deviation
Tesla Inc,TSLA,-,0.58,0.47,0.4,0.39,0.41,0.44,0.29,0.39,0.46,0.29,0.39,0.28,0.3,0.33,0.33,0.32,0.37,0.4,0.28,0.36,0.23,0.32,0.28,0.33,0.27,0.3,0.27,0.43,0.15,0.27,0.27,0.22,0.58,0.34,0.16,0.34,0.24,0.19,0.36,0.2,0.45,0.25,0.32,0.2,0.32,0.48,0.36,0.28,0.26,114.44%,4.35%,23.53%,81.51%
Apple Inc.,AAPL,0.58,-,0.71,0.49,0.62,0.64,0.53,0.43,0.53,0.49,0.42,0.58,0.41,0.35,0.48,0.73,0.45,0.52,0.58,0.28,0.47,0.36,0.3,0.46,0.28,0.47,0.44,0.47,0.71,0.41,0.25,0.25,0.29,0.59,0.48,0.48,0.33,0.18,0.14,0.63,0.42,0.31,0.32,0.52,0.31,0.44,0.56,0.52,0.3,0.58,41.36%,2.22%,9.99%,34.60%
Microsoft Corporation,MSFT,0.47,0.71,-,0.58,0.75,0.55,0.58,0.52,0.68,0.65,0.25,0.64,0.49,0.32,0.56,0.56,0.33,0.64,0.61,0.45,0.45,0.53,0.28,0.45,0.3,0.37,0.58,0.53,0.8,0.45,0.49,0.26,0.31,0.66,0.53,0.56,0.5,0.38,0.37,0.7,0.51,0.47,0.36,0.69,0.51,0.51,0.63,0.61,0.42,0.65,37.18%,2.02%,5.38%,18.65%
Alphabet Inc.,GOOG,0.4,0.49,0.58,-,0.52,0.59,0.55,0.67,0.55,0.38,0.05,0.58,0.5,0.38,0.69,0.42,0.32,0.59,0.53,0.31,0.47,0.61,0.18,0.24,0.4,0.34,0.46,0.53,0.45,0.35,0.6,0.27,-0.01,0.55,0.4,0.37,0.33,0.39,0.11,0.6,0.35,0.36,0.49,0.67,0.35,0.57,0.68,0.65,0.35,0.35,22.64%,1.95%,6.83%,23.66%
"Amazon.com, Inc.",AMZN,0.39,0.62,0.75,0.52,-,0.67,0.47,0.31,0.49,0.53,0.28,0.55,0.3,0.51,0.43,0.5,0.37,0.66,0.57,0.1,0.3,0.36,0.29,0.66,0.22,0.34,0.53,0.34,0.66,0.46,0.38,0.42,0.2,0.57,0.4,0.51,0.41,0.27,0.22,0.63,0.59,0.37,0.14,0.55,0.57,0.39,0.41,0.48,0.13,0.44,26.95%,2.08%,8.70%,30.15%
"Facebook, Inc.",FB,0.41,0.64,0.55,0.59,0.67,-,0.48,0.49,0.54,0.34,0.29,0.66,0.48,0.5,0.59,0.55,0.33,0.65,0.63,0.14,0.44,0.46,0.19,0.68,0.31,0.49,0.32,0.44,0.68,0.38,0.46,0.25,0.04,0.61,0.51,0.46,0.29,0.2,-0.16,0.66,0.41,0.37,0.34,0.62,0.34,0.31,0.58,0.63,0.31,0.45,13.06%,2.39%,9.58%,33.18%
Berkshire Hathaway Inc.,BRK.A,0.44,0.53,0.58,0.55,0.47,0.48,-,0.81,0.65,0.67,0.44,0.7,0.72,0.4,0.79,0.43,0.46,0.51,0.46,0.31,0.74,0.57,0.51,0.22,0.64,0.53,0.49,0.6,0.54,0.45,0.57,0.55,0.38,0.54,0.54,0.54,0.52,0.45,0.09,0.62,0.39,0.52,0.68,0.62,0.29,0.7,0.74,0.74,0.51,0.58,5.53%,1.50%,5.73%,19.84%
J P Morgan Chase & Co,JPM,0.29,0.43,0.52,0.67,0.31,0.49,0.81,-,0.6,0.55,0.23,0.61,0.79,0.41,0.96,0.3,0.31,0.42,0.46,0.38,0.75,0.75,0.34,0.13,0.59,0.46,0.31,0.66,0.43,0.54,0.69,0.37,0.17,0.31,0.47,0.54,0.43,0.44,0.1,0.61,0.31,0.39,0.83,0.66,0.22,0.56,0.9,0.9,0.59,0.51,11.76%,2.25%,8.19%,28.38%
Visa Inc.,V,0.39,0.53,0.68,0.55,0.49,0.54,0.65,0.6,-,0.53,0.26,0.93,0.69,0.46,0.64,0.49,0.29,0.61,0.69,0.47,0.62,0.63,0.46,0.37,0.59,0.55,0.35,0.54,0.73,0.55,0.69,0.36,0.5,0.62,0.53,0.53,0.53,0.45,0.13,0.8,0.16,0.57,0.59,0.57,0.23,0.76,0.68,0.68,0.59,0.39,20.77%,1.93%,6.81%,23.58%
Johnson & Johnson,JNJ,0.46,0.49,0.65,0.38,0.53,0.34,0.67,0.55,0.53,-,0.47,0.52,0.54,0.52,0.58,0.3,0.44,0.45,0.43,0.43,0.61,0.55,0.63,0.26,0.47,0.35,0.67,0.54,0.46,0.52,0.5,0.64,0.58,0.37,0.38,0.56,0.64,0.24,0.53,0.58,0.65,0.53,0.43,0.4,0.52,0.53,0.54,0.56,0.23,0.35,9.80%,1.46%,5.54%,19.20%
